danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.808,0.652,-4.901,0.222,0.111,0.0,0.163,0.556,91.529,2yEwNpzHpY0ctoWf7EPMdy,365400
0.939,0.486,-3.488,0.207,0.172,0.0,0.264,0.517,97.582,1iQ5E4z6CJ38dIzvMI9Wdo,206547
0.816,0.775,-3.323,0.234,0.16,0.00031,0.0543,0.527,93.431,503OTo2dSqe7qk76rgsbep,270587
0.772,0.821,-0.14,0.25,0.223,0.0,0.148,0.77,91.921,1SWVDBtw6h3tm9OehOkDhv,244200
0.924,0.74,-1.299,0.0774,0.0827,0.0,0.163,0.621,133.974,7iXF2W9vKmDoGAhlHdpyIa,222293
0.922,0.909,-2.429,0.27,0.0281,0.0,0.0856,0.309,95.295,4LwU4Vp6od3Sb08CsP99GC,161507
0.818,0.473,-2.733,0.397,0.125,0.0,0.0741,0.717,88.824,4VZPYvMTByQytb6F3MKP4w,265213
0.765,0.88,-4.361,0.116,0.176,1e-05,0.139,0.929,168.96,0Ed7MeXx64f6OcIuoTRCg1,215200
0.905,0.85,-2.795,0.331,0.055,0.0,0.0903,0.498,99.375,0EZMXJMWf0tLKRWwCiA6Sx,147427
0.444,0.866,-6.217,0.111,0.000622,4.72e-05,0.105,0.375,94.968,1U8Ho1nOzKXYDvfigOuHG4,235120
0.797,0.563,-6.098,0.139,0.0556,1.83e-05,0.152,0.203,82.872,3q3dgg56jNdMv7mWntV2kV,250533
0.785,0.479,-10.247,0.362,0.0417,3.5e-05,0.334,0.727,87.691,5RGXoZt1qxmAErdhbyKJKq,339893
0.739,0.872,-4.059,0.333,0.0217,0.0,0.26,0.684,95.084,6Xk7PnitV9jCRorWt2LiVZ,238746
0.869,0.68,-6.233,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,75IN3CtuZwTHTnZvYM4qnJ,268400
0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,3UmaczJpikHgJFyBTAJVoz,404107
0.686,0.735,-4.616,0.264,0.00921,0.00066,0.342,0.0596,171.355,1v7L65Lzy0j0vdpRjJewt1,322227
0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,3CpoeW0cZSDzIRv5z34F87,339547
0.908,0.669,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,7lQ8MOhq6IN2w8EYcFNSUk,290320
0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,3yfqSUWxFvZELEM4PmlwIR,284200
0.637,0.678,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,561jH07mF1jHuk7KlaeF0s,250760
0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,4CDIEKHMb2MBgvgHBkhiJD,281320
0.818,0.77,-5.929,0.369,0.0735,0.0,0.0997,0.755,110.097,6dLhl7Jat4JqaKaJlyUy53,330333
0.548,0.847,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,4xkOaSrkexMciUUogZKVTS,297787
0.777,0.716,-5.327,0.347,0.294,0.0,0.665,0.593,95.756,5CsDo9j3N4yFZNCN1h9loS,159787
0.778,0.891,-5.319,0.126,0.0268,0.0,0.184,0.0688,112.441,3FLPAAlQNb570TtFQ50RwR,297013
0.719,0.858,-1.366,0.25,0.252,0.0,0.628,0.616,84.497,6dJRP4pXk4SOzWfhfHL3Or,261387
0.534,0.906,-2.316,0.349,0.471,0.0,0.782,0.499,174.058,0OOv1XGVVzUgTIzomIHfR0,288984
0.781,0.602,-5.426,0.107,0.121,0.0,0.148,0.324,121.998,6MtI49ggHHumUTONlvMQlq,336519
0.679,0.908,-3.411,0.202,0.234,0.0,0.0821,0.687,85.918,4SE4yewyGpOYfxfx59Yjc5,279013
0.855,0.954,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,7Ie9W94M7OjPoZVV216Xus,248133
0.727,0.696,-4.472,0.0706,0.251,0.0,0.0726,0.467,132.077,1HR2CTi0ytRJIcik1QKdOa,392827
0.632,0.807,-3.489,0.409,0.126,0.0,0.568,0.55,107.316,4jpi8FljkAwKFb4ljWuar6,371453
0.668,0.886,-3.474,0.117,0.0417,0.0,0.459,0.503,142.002,0sHW1jXe6Sou3437gJQNGA,278640
0.531,0.759,-7.002,0.387,0.0706,0.0,0.318,0.304,175.89,3nU6ip6YOygqR3MJjFEb4Z,357387
0.74,0.94,-4.195,0.285,0.125,8.33e-05,0.132,0.489,89.981,5NmL2zxnlt9GiTB2TQbvFM,359400
0.884,0.71,-5.944,0.24,0.0856,0.0,0.368,0.773,82.563,5MmZraBvIW6liI1iET3pdK,248173
0.781,0.864,-3.739,0.0538,0.0071,0.000466,0.0895,0.618,79.995,2hARTYV46zzxDEjui6AXy1,255040
0.857,0.706,-3.082,0.159,0.00539,0.00259,0.117,0.322,95.722,3WgTbafC5uRpdQdFndQYxE,353760
0.802,0.785,-4.781,0.207,0.14,0.0,0.123,0.435,99.998,2wGSgTmgSF3xjRrHkTc25R,206400
0.862,0.648,-7.401,0.251,0.0455,0.0,0.0332,0.637,98.012,4PmMVdIFpJTB9WQbmILf4p,235533
0.651,0.774,-6.258,0.3,0.223,0.0,0.526,0.468,87.104,6oqNpt86Lbgma8X7nf6Uzz,352973
0.699,0.491,-9.911,0.218,0.0756,0.0,0.61,0.24,81.095,4QV4EEYszD7HGrTo6PzX9K,367151
0.638,0.774,-6.792,0.412,0.0485,0.0,0.224,0.533,86.187,6AjBdsE7YQDRiSvSdJ4pk1,178467
0.757,0.862,-3.519,0.0696,0.115,0.000203,0.285,0.823,99.017,1KBN9lYx9QkfUJC3NSXlhQ,233173
0.934,0.735,-6.668,0.251,0.031,8.6e-06,0.107,0.768,101.368,3NGT0Td7H4Is1qrlDQJxma,273107
0.575,0.927,-5.511,0.395,0.0383,0.0,0.0623,0.473,105.567,4wEbikMfcSFAukCbbL06si,313547
0.78,0.754,-5.377,0.0952,0.135,0.034,0.0467,0.81,82.394,2MuJbBWAVewREJmB8WdGJ3,260307
0.472,0.817,-3.647,0.225,0.161,0.0,0.154,0.311,86.941,2TrZiDd1CicEMbY73S3M5F,219502
0.716,0.88,-3.927,0.308,0.00681,0.0,0.115,0.535,92.886,47XmM8zyPHGqqwRIzmYJil,271812
0.683,0.59,-5.423,0.458,0.326,0.0,0.148,0.653,100.892,5880eYQmXx3c3oD22IljIt,224107
0.747,0.52,-10.523,0.0357,0.0977,0.0537,0.142,0.601,92.869,2Ih217RCGAmyQR68Nn7Cqo,232773
0.782,0.589,-4.827,0.189,0.148,0.0,0.164,0.869,90.438,0IVAlb0cFCH1cQ974iR1TU,223547
0.753,0.749,-6.132,0.316,0.0285,0.0,0.0845,0.832,93.79,3gRlmtdCyNoKiyozn2pqc9,246440
0.763,0.786,-6.472,0.229,0.0146,0.0114,0.0817,0.504,93.857,33ZXjLCpiINn8eQIDYEPTD,325507
0.746,0.736,-5.21,0.227,0.0101,5.56e-06,0.0333,0.808,95.58,20ccLIFUpfzgX5kSbDakH4,255093
0.834,0.878,-9.484,0.15,0.0461,0.0,0.334,0.418,102.848,6KIKRz9eSTXdNsGUnomdtW,258688
0.859,0.75,-8.325,0.303,0.0193,0.0,0.0538,0.857,98.691,5n8Aro6j1bEGIy7Tpo7FV7,345717
0.894,0.698,-8.264,0.275,0.0279,3.56e-06,0.329,0.695,98.104,1pOIpxfrQ8AszXZdKR3aH3,336917
0.851,0.582,-11.022,0.286,0.0497,0.0,0.241,0.956,95.05,29LXywbHsHAe4oAxdL5GeV,263681
0.706,0.878,-5.172,0.193,0.0242,0.0,0.365,0.517,95.103,5MoADCqapbz4kXUeoQIMD8,300653
0.843,0.878,-6.675,0.347,0.0932,0.0,0.288,0.579,109.851,6UykxHDyfwwcYzd5H4bF0t,193295
0.512,0.613,-8.896,0.037,0.0872,4.42e-06,0.145,0.682,161.708,4WVLC5JmSIEHco1LDinj0F,240177
0.754,0.845,-5.902,0.0583,0.259,0.103,0.455,0.826,105.452,4eTkigHBxzWXplGHmIUy4L,268933
0.641,0.77,-5.804,0.275,0.00812,0.0,0.101,0.785,86.3,3GCFSWC251iFhSAtnmhHxE,249931
0.751,0.599,-8.183,0.336,0.0387,0.000236,0.426,0.353,95.702,2bLQom3VkslaUv4HqNG96p,283800
0.715,0.729,-4.749,0.229,7.92e-06,0.0158,0.127,0.367,91.31,1wvU1iYbmzf8tC3IKVDaZE,202787
0.634,0.901,-4.967,0.261,0.0303,0.0,0.221,0.891,168.887,5MRISjH5TBU1HBzsfkt11X,292000
0.883,0.649,-5.485,0.231,0.0152,0.0,0.0427,0.521,93.962,6eijrV64PEJCUCZNIhlNp0,283053
0.614,0.543,-7.178,0.374,0.00776,3.28e-05,0.383,0.485,178.422,1AHfovSnGPVYKaahRtA0U6,234093
0.818,0.433,-6.398,0.209,0.0939,0.0,0.0967,0.677,90.096,6iH9WMCrhLOTfR7RNIE4Rh,245027
0.889,0.818,-4.639,0.253,0.47,0.0,0.179,0.782,96.063,5ByAIlEEnxYdvpnezg7HTX,302760
0.85,0.7,-6.49,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,3Gf5nttwcX9aaSQXRWidEZ,291782
0.818,0.653,-8.396,0.204,0.0335,5.46e-06,0.22,0.533,99.931,31bf9SEOppLU6lQ85d8om6,261133
0.697,0.943,-4.954,0.175,0.00269,0.0,0.0773,0.754,99.468,3LE6oaTvpfu3nN4t9U0DmJ,212853
0.813,0.676,-9.159,0.296,0.00842,0.0,0.171,0.705,94.629,1Mt7JLzBMXjTVKcdeD437t,235893
0.687,0.796,-6.713,0.168,0.0989,2.25e-05,0.398,0.37,94.625,0RvnQ7hMgtXeJn8VdEhKu1,211867
0.69,0.71,-7.106,0.187,0.542,4.54e-05,0.554,0.657,82.427,1j1x1Hv6qZDgTyFh8QBJq6,224688
0.568,0.455,-14.133,0.148,0.000312,0.00163,0.255,0.589,85.994,2AaNxOAAgKXD3i3ok1HT7N,241359
0.593,0.789,-4.48,0.275,0.16,0.0,0.619,0.58,91.189,79t5idiRhbDB1oLaVcTVsD,285453
0.832,0.588,-10.88,0.248,0.4,0.0,0.104,0.716,95.309,5EEOjaJyWvfMglmEwf9bG3,250868
0.934,0.562,-4.609,0.24,0.0476,1.31e-06,0.0608,0.712,96.792,0KbIwqCAHmXWu7hrszXY6j,209413
0.6,0.706,-7.899,0.361,0.209,0.0,0.125,0.58,173.926,4IYKjN1DrYzxKXt0umJqsG,253533
0.893,0.514,-5.08,0.283,0.18,0.0,0.0596,0.787,95.848,2jKoVlU7VAmExKJ1Jh3w9P,219160
0.843,0.7,-3.249,0.26,0.127,0.0,0.876,0.675,95.05,65iyI1iybyv5ecsfBHSdUf,293053
0.836,0.484,-7.332,0.327,0.0454,0.0,0.0557,0.839,95.941,2p9sprAX27D6U5cuSE9NsM,222933
0.734,0.544,-4.786,0.194,0.42,0.0,0.0975,0.669,86.617,2iYM4CGkoTfsLw9MI5K1AC,298267
0.61,0.856,-3.974,0.325,0.0879,0.0,0.289,0.67,91.77,6i6cWTCYBOKEdJnWjzm2yk,245467
0.817,0.817,-4.911,0.135,0.098,1.61e-06,0.0798,0.854,90.194,4dbZObCjUs95HtmEHfKbnU,212760
0.572,0.745,-6.418,0.367,0.184,0.0,0.154,0.593,160.037,6UeROtzgj12WLgZx3033G6,240147
0.595,0.714,-5.705,0.0609,0.0381,0.0,0.08,0.141,88.449,0Cw5iiA8OHWIhuIIA8u8N5,325333
0.642,0.777,-4.809,0.094,0.00323,0.0,0.227,0.413,96.986,3zmduBNsQ6BPDTZAkXzG5K,214400
0.807,0.457,-6.797,0.268,0.705,2.01e-06,0.15,0.76,82.902,7HgwXT5UvgoZJLivur1sCQ,234333
0.685,0.803,-4.251,0.156,0.0601,0.0,0.546,0.799,107.005,7dyluIqv7QYVTXXZiMWPHW,205280
0.766,0.641,-3.777,0.0445,0.0165,0.0386,0.0809,0.579,85.011,4Nrg8EG7wWTiTOumtpw8gk,257093
0.4,0.805,-7.305,0.0407,0.0387,5.4e-05,0.109,0.324,158.459,497Fkp3gRiGrRMoqBTDudr,193933
0.869,0.642,-7.805,0.264,0.292,0.0,0.251,0.666,92.3,7et7FNzwDt8PM4uSGaU8Qu,355082
0.833,0.64,-5.674,0.22,0.0184,0.0,0.102,0.465,99.285,5xEm63lXBhJKZgjRDMWH3H,352907
0.965,0.449,-15.225,0.236,0.05,1.13e-06,0.267,0.723,105.391,2hluGQtmPypU3tsQudCQ3U,323267
0.94,0.713,-5.308,0.127,0.0319,0.00076,0.325,0.666,112.955,2Sionb7ZAmdVGH9mieuJ7Z,236813
0.912,0.416,-5.943,0.164,0.437,0.306,0.09,0.677,90.013,52riputZ4Vo5PG9MOSy6r5,236227
0.59,0.672,-11.792,0.412,0.125,1.04e-06,0.147,0.688,206.247,0PV1TFUMTBrDETzW6KQulB,286440
0.526,0.806,-7.589,0.161,0.0763,0.0,0.344,0.882,92.96,5bLWaBLpfMgPRy22FJSLC1,229507
0.342,0.907,-4.432,0.415,0.0815,0.0,0.383,0.225,170.38,0O6cYePgIBlMQ0pAFate3q,248093
0.829,0.757,-5.68,0.213,0.0623,0.0,0.075,0.604,90.888,2gLedWw8tl9XQv46o4uGcm,234083
0.866,0.568,-4.865,0.256,0.0389,0.0,0.258,0.739,96.456,64LM0BSU1lzGPcmeVpIXkS,180613
0.732,0.572,-7.426,0.295,0.389,0.0,0.125,0.816,96.909,1AWfyeM1D7mAG5CAN3HLMf,301000
0.902,0.429,-12.098,0.297,0.0124,0.0,0.35,0.522,91.895,4DubOF0AqoxpGVRY78AHuo,209307
0.773,0.54,-7.123,0.103,0.371,0.0,0.131,0.322,84.115,6tDxrq4FxEL2q15y37tXT9,280000
0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,4CDIEKHMb2MBgvgHBkhiJD,281320
0.557,0.778,-4.571,0.255,0.00556,0.0,0.324,0.416,174.046,60DYd3b1tkYvz1s5QXEU20,213864
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343
0.773,0.598,-6.405,0.0577,0.0146,0.0,0.0552,0.49,127.984,6BwotFAJRc9TSnsEgFDV9V,185707
0.653,0.842,-5.207,0.193,0.0204,2.58e-05,0.0756,0.817,172.003,0DrVnGIRPrA2oEYmClbFgZ,203147
0.71,0.404,-10.04,0.379,0.484,0.0,0.0953,0.398,139.553,3pndPhlQWjuSoXhcIIdBjv,165853
0.715,0.655,-6.425,0.137,0.0525,0.0,0.115,0.531,95.078,5HQVUIKwCEXpe7JIHyY734,207333
0.598,0.732,-7.013,0.425,0.144,0.0,0.508,0.595,172.329,0XRbYXQUymj9SJkrr8YK5B,262507
0.658,0.87,-3.019,0.0955,0.0275,0.0,0.656,0.791,91.647,0LyLz6XsVs6wz85dK0S6EG,348000
0.608,0.789,-2.971,0.335,0.00105,3.08e-05,0.0884,0.386,172.093,2LQTHb4rEtKpxQgeqdesmc,141867
0.888,0.632,-3.872,0.219,0.19,0.0,0.101,0.662,91.979,2NBQmPrOEEjA8VbeWOQGxO,266067
0.656,0.932,-2.77,0.317,0.00131,0.0025,0.184,0.541,85.076,34jHDKV7cNwRLl2NU1zPJq,205893
0.533,0.939,-1.883,0.0766,0.000363,7.24e-06,0.0666,0.341,83.684,7KZs2C1UGjrIfVXXuvtb20,263227
0.491,0.956,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585,2igwFfvr1OAGX9SKDCPBwO,276920
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,4E5P1XyAFtrjpiIxkydly4,182307
0.548,0.75,-2.949,0.53,0.184,0.0,0.422,0.497,192.159,2plFaDNZayLbtA9Ht1yCEo,167576
0.738,0.87,-5.343,0.0844,0.0124,0.0,0.14,0.845,89.988,4jX7ylmW6kILaabLqqAyO0,205733
0.768,0.782,-5.545,0.141,0.0545,0.0,0.338,0.842,116.492,1o1Pny4JcE3LdUBeBedbm6,220319
0.598,0.252,-15.086,0.0644,0.194,0.133,0.0992,0.0352,120.064,4S7YHmlWwfwArgd8LfSPud,238307
0.586,0.717,-8.546,0.196,0.472,0.00239,0.104,0.306,125.014,6lKCaafKm88sVfYz2u7S4B,276093
0.749,0.745,-10.625,0.164,0.000501,0.00403,0.333,0.481,101.972,27AHAtAirQapVldIm4c9ZX,195107
0.762,0.666,-6.055,0.0916,0.00427,0.0,0.127,0.278,118.97,10I3CmmwT0BkOVhduDy53o,232093
0.895,0.681,-5.267,0.358,0.157,0.0,0.189,0.554,121.918,0wdKiSBUT7aZkXUIdJWcwC,240000
0.823,0.617,-8.21,0.248,0.0465,0.0,0.11,0.304,110.007,1gZNqH0rDxD1mXLeul1Qq7,208440
0.716,0.485,-8.241,0.237,0.0401,0.0,0.277,0.556,148.141,0YSTRuZ7elW9CEBfZJW5Js,247600
0.701,0.485,-10.305,0.364,0.367,6.31e-05,0.0852,0.496,78.863,1vvnYpYEMVB4aq9I6tHIEB,530253
0.394,0.661,-8.684,0.192,0.00996,0.0,0.343,0.335,149.818,2N3U8uTYhjX2KwGT0pf5x0,260987
0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967,4X5f3vT8MRuXF68pfjNte5,233787
0.898,0.598,-7.164,0.0467,0.49,0.0014,0.0646,0.528,119.966,6br4Pc0BzU6dTD5fEmks2i,255253
0.668,0.489,-9.13,0.137,0.115,0.0,0.184,0.258,142.226,5Uc07fEUpjjFcLEIleEHkJ,231787
0.884,0.53,-5.776,0.0379,0.0144,0.0,0.095,0.262,99.021,7F51q96XofOD2lntm7hzvQ,206187
0.797,0.469,-8.112,0.0646,0.0599,0.0,0.0753,0.481,103.057,5IZc3KIVFhjzJ0L2kiXzUl,224240
0.823,0.563,-5.095,0.0443,0.0399,0.0,0.0851,0.682,98.031,0k6DnZMLoEUH8NGD5zh2SE,225227
0.595,0.416,-10.957,0.0366,0.536,0.0,0.293,0.185,74.556,3MWlVSkoLS1e66nlZ2tuWJ,127880
0.78,0.657,-7.149,0.317,0.0321,2.56e-06,0.339,0.648,163.969,3IrkbGQCoEPAkzJ0Tkv8nm,245173
0.492,0.803,-5.911,0.35,0.122,2.08e-05,0.146,0.778,175.802,4xyPqgnOnH076SJEW2QUwF,245107
0.789,0.858,-5.542,0.311,0.127,0.0,0.349,0.775,140.022,4Li2WHPkuyCdtmokzW2007,219333
0.78,0.575,-7.247,0.273,0.43,0.0,0.143,0.773,84.492,2g8HN35AnVGIk7B8yMucww,252747
0.901,0.697,-3.439,0.28,0.145,0.0,0.287,0.67,93.941,7KwZNVEaqikRSBSpyhXK2j,229827
0.845,0.884,-4.506,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,4INDiWSKvqSKDEu7mh8HFz,257400
0.941,0.631,-5.998,0.114,0.0366,1.8e-06,0.0311,0.63,128.597,4PrquuUN34hswtM71OMvxS,263373
0.863,0.772,-2.278,0.114,0.0167,0.0,0.206,0.83,110.514,6lob8yGQuretKACtogsaQL,224680
0.419,0.786,-4.589,0.256,0.000454,0.0,0.314,0.744,105.289,1x01tXhHXuRaxDvyo0BrxZ,216960
0.699,0.905,-2.757,0.372,0.207,0.0,0.257,0.625,180.109,4ZvVQABRpQ4q8uCiSRIQz0,224227
0.604,0.601,-6.837,0.398,0.177,0.0,0.405,0.829,82.261,0a72Oo8rFK3PPOIc5kiWX8,185813
0.9,0.656,-7.218,0.222,0.43,0.0,0.189,0.288,106.948,69Rq57lrGf5syykFBNi3g4,252000
0.766,0.74,-10.363,0.0807,0.0193,0.0784,0.229,0.183,118.008,0Fs9cdPDhptWEDJmiCbkEW,296520
0.837,0.78,-10.449,0.315,0.0527,4.58e-05,0.0894,0.645,93.556,7qIwzvrtNJl2En2E3RBL8V,267293
0.766,0.641,-3.777,0.0445,0.0165,0.0386,0.0809,0.579,85.011,4Nrg8EG7wWTiTOumtpw8gk,257093
0.512,0.677,-7.407,0.14,0.00425,0.000951,0.142,0.204,172.208,2wsBhAFs6Cxk9AGngVpYOK,225867
0.667,0.608,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992,2uwnP6tZVVmTovzX5ELooy,241160
0.802,0.544,-9.212,0.0686,0.605,0.0,0.102,0.57,133.992,5O59s7bCgTFsXDXlWecyQ1,292865
0.889,0.4,-10.586,0.26,0.322,1.32e-05,0.331,0.336,128.073,0Thqjtu54vKMP06pwZkAWp,301064
0.495,0.722,-8.108,0.357,0.0697,0.0,0.113,0.539,175.627,4tqcoej1zPvwePZCzuAjJd,239267
0.771,0.536,-8.534,0.323,0.553,1.05e-06,0.294,0.343,94.995,52A8OAP8lTQKZCj4Rce92B,269721
0.817,0.814,-5.028,0.222,0.114,0.0,0.351,0.923,103.545,0K70lSOi0rN9yOPRB7na89,250333
0.886,0.512,-11.825,0.237,0.207,0.0,0.0991,0.454,93.997,63BokRfXSQhEU6Qi2dSJpZ,308733
0.935,0.805,-4.782,0.225,0.0143,1.53e-06,0.298,0.624,105.641,7y9yjpRtZajYzVpXHRjwGz,234360
0.827,0.683,-5.985,0.18,0.0449,1.04e-06,0.179,0.376,95.024,0pQynoxBL4AvYyt67pZ74x,226000
0.662,0.585,-10.238,0.101,0.531,1.08e-05,0.443,0.829,89.212,7rLAPi81R7qlVqgXfykdEL,373213
0.774,0.776,-5.331,0.304,0.178,0.0,0.283,0.654,99.071,2Uvwc7D5rhphlzfBDnpYpU,311533
0.899,0.6,-7.451,0.154,0.0184,1.68e-05,0.0725,0.586,92.717,0NzNKU2MJ9LCetT2uZMJH2,239227
0.762,0.838,-3.701,0.0963,0.033,0.0,0.0623,0.73,92.482,2S2x5N5VJNn7vqYukvoFFC,287547
0.76,0.585,-7.307,0.161,0.0102,0.000468,0.308,0.455,91.179,6uWez0py1zc17F7hjp7jIt,311040
0.888,0.584,-13.308,0.112,0.0385,3.19e-06,0.0625,0.762,104.705,5vpDsiVqiZLRwKAzQO708k,334440
0.916,0.844,-3.967,0.236,0.0394,0.0,0.0778,0.586,95.19,0Z2J91b2iTGLVTZC4fKgxf,312627
0.711,0.693,-8.208,0.41,0.106,0.0,0.0821,0.906,177.978,0LfoVjNyrzkCLzarDAazCh,229305
0.651,0.722,-9.389,0.276,0.0125,0.0135,0.0503,0.798,181.983,69XvksKwBWUL8b69uTXWwb,263520
0.639,0.912,-2.621,0.0615,0.00107,0.0,0.097,0.343,143.448,6nzXkCBOhb2mxctNihOqbb,227520
0.733,0.477,-6.737,0.0687,0.302,2.97e-06,0.0579,0.545,62.507,3mRLHiSHYtC8Hk7bzZdUs1,216133
0.744,0.736,-5.258,0.291,0.142,1.1e-05,0.11,0.77,103.993,1ddKUwm3UuvcMWLLAgOIcX,172758
0.796,0.777,-4.81,0.0397,0.0261,0.000358,0.121,0.787,132.722,4wH4dJgrsxONID6KS2tDQM,258893
0.506,0.817,-5.051,0.0335,0.00272,0.0,0.0486,0.506,109.952,2DgdHcjWmO3qd50RzuBLgZ,208707
0.852,0.671,-9.251,0.0553,0.012,0.063,0.103,0.886,129.003,5kcERXTIoNbkBjb6o4vYBf,178600
0.602,0.905,-4.046,0.0775,0.000202,0.064,0.117,0.411,128.019,4VqPOruhp5EdPBeR92t6lQ,304840
0.606,0.62,-5.005,0.0298,0.0301,0.0916,0.167,0.543,88.984,1qwno7xb5mJe71xtMS6jl2,231600
0.591,0.804,-7.299,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,5LNiqEqpDc8TuqPy79kDBu,329413
0.345,0.612,-6.543,0.0608,0.232,0.0,0.194,0.232,179.773,59CfNbkERJ3NoTXDvoURjj,153000
0.506,0.959,-5.264,0.102,0.084,0.000655,0.135,0.34,133.996,0boS4e6uXwp3zAvz1mLxZS,213267
0.705,0.806,-3.607,0.0309,0.0132,0.00428,0.0701,0.734,103.383,4zQuwW24dweWcaX0fEJkP2,256947
0.436,0.655,-8.153,0.159,0.425,0.0,0.393,0.523,139.712,3A0ITFj6kbb9CggwtPe55f,154749
0.316,0.484,-9.11,0.0308,0.000334,0.00445,0.0912,0.299,117.363,4mn2kNTqiGLwaUR8JdhJ1l,269907
0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,5FVd6KXrgO9B3JPmC8OPst,272394
0.509,0.448,-7.552,0.0357,0.00713,0.0137,0.244,0.221,156.909,5MAK1nd8R6PWnle1Q1WJvh,230613
